route,source,destination,year,month,day,hour,minute,vessel_name,duration_minutes
1,Swartz Bay,Tsawwassen,2017,02,16,17,00,Coastal Renaissance,88
30,Tsawwassen,Duke Point,2017,02,23,17,45,Coastal Inspiration,120
4,Swartz Bay,Fulford Harbour,2017,04,16,19,00,Skeena Queen,34
1,Tsawwassen,Swartz Bay,2017,03,05,10,00,Queen of New Westminster,86
30,Duke Point,Tsawwassen,2017,03,18,07,45,Queen of Alberni,119
4,Swartz Bay,Fulford Harbour,2017,04,09,19,00,Skeena Queen,34
2,Departure Bay,Horseshoe Bay,2017,02,09,17,00,Queen of Oak Bay,104
4,Swartz Bay,Fulford Harbour,2017,03,26,11,00,Skeena Queen,32
1,Tsawwassen,Swartz Bay,2017,03,15,07,00,Spirit of British Columbia,90
1,Swartz Bay,Tsawwassen,2017,02,13,16,00,Coastal Renaissance,88
8,Horseshoe Bay,Bowen Island,2017,04,18,17,30,Queen of Capilano,20
3,Langdale,Horseshoe Bay,2017,04,19,12,35,Queen of Surrey,51
1,Tsawwassen,Swartz Bay,2017,02,17,15,00,Coastal Renaissance,88
2,Horseshoe Bay,Departure Bay,2017,03,19,21,00,Queen of Cowichan,127
3,Horseshoe Bay,Langdale,2017,03,16,14,35,Queen of Coquitlam,53
3,Horseshoe Bay,Langdale,2017,03,04,07,20,Queen of Surrey,38
3,Langdale,Horseshoe Bay,2017,02,24,13,35,Queen of Coquitlam,41
1,Tsawwassen,Swartz Bay,2017,04,21,18,00,Coastal Celebration,96
30,Duke Point,Tsawwassen,2017,04,25,20,15,Coastal Renaissance,119
1,Tsawwassen,Swartz Bay,2017,03,13,15,00,Coastal Renaissance,92
4,Swartz Bay,Fulford Harbour,2017,04,28,07,00,Skeena Queen,34
2,Horseshoe Bay,Departure Bay,2017,03,21,19,00,Queen of Oak Bay,102
1,Tsawwassen,Swartz Bay,2017,02,21,07,00,Coastal Renaissance,88
2,Departure Bay,Horseshoe Bay,2017,04,19,06,30,Queen of Cowichan,98
